Key,english
firemode_fa,"[D3CE1D]Full Auto[-]"
firemode_2rb,"[D3CE1D]2-Round Burst[-]"
firemode_3rb,"[D3CE1D]3-Round Burst[-]"
firemode_5rb,"[D3CE1D]5-Round Burst[-]"
firemode_sa,"[D3CE1D]Semi Auto[-]"

09FF00 2
004CFF 3
BB00FF 4
FFD700 5
4FBE28 green
FF4F33 red
FE7B7C Salmon Pink
FFEB04 Yellow (7DtD Settings Menu)

gunppsh41,"PPSh-41"
gunppsh41Desc,"[FFFFFF]PPSh-41 [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×25mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF]9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunpp9klin,"PP-9 'Klin'"
gunpp9klinDesc,"[FFFFFF]PP-9 'Klin' Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×18mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunmp5k,"MP5K"
gunmp5kDesc,"[FFFFFF]HK MP5K [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunmp5,"[09FF00]MP5[-]"
gunmp5Desc,"[09FF00]HK MP5 [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCan equip an M203 Grenade Launcher\nRequires a grip to equip flashlights/lasers and C-Mag"
gunuzi,"[09FF00]UZI[-]"
gunuziDesc,"[09FF00]IWI UZI [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunpp19vityaz,"[09FF00]PP-19-01 'Vityaz'[-]"
gunpp19vityazDesc,"[09FF00]PP-19-01 'Vityaz' [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nRequires a grip to equip flashlights/lasers"
gunmp9,"[004CFF]MP9-N[-]"
gunmp9Desc,"[004CFF]B&T MP9-N [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunuziprosmg,"[004CFF]UZI PRO[-]"
gunuziprosmgDesc,"[004CFF]IWI UZI PRO [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunmp5sd,"[004CFF]MP5SD[-]"
gunmp5sdDesc,"[004CFF]HK MP5SD [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCan equip an [D3CE1D]M203[-] Grenade Launcher\nHas an [4FBE28]Integrated Suppressor[-]"
gunvector9,"[BB00FF]Vector 9×19[-]"
gunvector9Desc,"[BB00FF]TDI KRISS Vector Gen.2 [-][FFFFFF]Submachine Gun (9mm)\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCan equip an [D3CE1D]M203[-] Grenade Launcher"
gunmpx,"[BB00FF]SIG MPX[-]"
gunmpxDesc,"[BB00FF]SIG MPX [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCan equip an [D3CE1D]M203[-] Grenade Launcher"
gunstm9,"[BB00FF]STM-9[-]"
gunstm9Desc,"[BB00FF]Soyuz-TM STM-9 Gen.2 [-][FFFFFF]Carbine\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCan equip an [D3CE1D]M203[-] Grenade Launcher"
gunsr2mveresk,"[004CFF]SR-2M 'Veresk'[-]"
gunsr2mvereskDesc,"[004CFF]SR-2M 'Veresk' [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×21mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunump45,"[09FF00]UMP 45[-]"
gunump45Desc,"[09FF00]HK UMP 45 [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCan equip an [D3CE1D]M203[-] Grenade Launcher"
gunthompson,"[004CFF]Thompson[-]"
gunthompsonDesc,"[004CFF]Colt Thompson [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunvector45,"[BB00FF]Vector .45 ACP[-]"
gunvector45Desc,"[BB00FF]TDI KRISS Vector Gen.2 [-][FFFFFF]Submachine Gun (.45ACP)\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCan equip an [D3CE1D]M203[-] Grenade Launcher"
gunmp7,"[004CFF]MP7A1[-]"
gunmp7Desc,"[004CFF]HK MP7A1 [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 4.6×30mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCan equip an [D3CE1D]M203[-] Grenade Launcher"
gunp90,"[004CFF]P90[-]"
gunp90Desc,"[004CFF]FN P90 [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] FN 5.7×28mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"

guntokarevtt,"TT-33"
guntokarevttDesc,"[FFFFFF]Tokarev TT-33 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×25mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
guntokarevgold,"[FFDB1A]TT-33 Golden Pistol[-]"
guntokarevgoldDesc,"[FFDB1A]Tokarev TT-33 [-][FFFFFF]Pistol [FFDB1A]Gold Edition[-]\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×25mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunpmalphadog,"PM"
gunpmalphadogDesc,"[FFFFFF]Makarov PM Alphadog [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×18mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nHas an [4FBE28]Integrated Suppressor[-]"
gunucp,"UCP"
gunucpDesc,"[FFFFFF]UCP [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 4630mmHK,4630mmHKAP,4630mmHKHP Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nHas an [4FBE28]Integrated Suppressor[-]"
gunstechkin,"Stechkin APS"
gunstechkinDesc,"[FFFFFF]Stechkin APS [-][FFFFFF]Machine Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×18mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunglock17,"Glock 17"
gunglock17Desc,"[FFFFFF]Glock 17 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunp226,"P226R"
gunp226Desc,"[FFFFFF]SIG P226R [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunm9a3,"M9A3"
gunm9a3Desc,"[FFFFFF]Beretta M9A3 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunglock18c,"Glock 18C"
gunglock18cDesc,"[FFFFFF]Glock 18C [-][FFFFFF]Machine Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×19mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nHas an [4FBE28]Integrated Suppressor[-]"
gunsr1mp,"SR-1MP"
gunsr1mpDesc,"[FFFFFF]Serdyukov SR-1MP Gyurza [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 9×21mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunusp45tac,"USP 45 Tactical"
gunusp45tacDesc,"[FFFFFF]HK USP 45 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunm1911,"M1911"
gunm1911Desc,"[FFFFFF]Colt M1911A1 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunm45,"M45A1"
gunm45Desc,"[FFFFFF]Colt M45A1 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunusp45match,"USP 45 w Match Compensator"
gunusp45matchDesc,"[FFFFFF]HK USP 45 [-][FFFFFF]Pistol with Match Compensator\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCannot equip [FF4F33]Suppressors[-]"
gunfiveseven,"FN Five-SeveN"
gunfivesevenDesc,"[FFFFFF]FN Five-SeveN MK2 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] FN 5.7×28mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gundeserteagle,"Desert Eagle L6"
gundeserteagleDesc,"[FFFFFF]Desert Eagle [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .50 AE Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunrsh12,"RSh-12"
gunrsh12Desc,"[FFFFFF]RSh-12 [-][FFFFFF]Revolver\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12.7×55mm Ammo\n[-][FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"

gunks23,"[004CFF]KS-23M[-]"
gunks23Desc,"[004CFF]TOZ KS-23M [-][FFFFFF]Pump-Action Shotgun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 23×75mm Shrapnel, Slug\n[-][FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunmp43,"MP-43-1C"
gunmp43Desc,"[FFFFFF]MP-43-1C [-][FFFFFF]Double-Barrel Shotgun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug\n[-][FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunmts255,"MTs-255-12"
gunmts255Desc,"[FFFFFF]MTs-255-12 [-][FFFFFF]Revolver Shotgun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug\n[-][FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunm590,"[09FF00]M590A1[-]"
gunm590Desc,"[09FF00]Mossberg 590A1 [-][FFFFFF]Pump-Action Shotgun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug\n[-][FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunm870,"[09FF00]M870[-]"
gunm870Desc,"[09FF00]Remington Model 870 [-][FFFFFF]Pump-Action Shotgun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug\n[-][FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunksg12,"[09FF00]KSG-12[-]"
gunksg12Desc,"[09FF00]Kel-Tec KSG [-][FFFFFF]Pump-Action Shotgun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug\n[-][FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunmp153,"[004CFF]MP-153[-]"
gunmp153Desc,"[004CFF]MP-153 [-][FFFFFF]Semi-Automatic Shotgun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug\n[-][FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunm3benelli,"[004CFF]M3 Benelli[-]"
gunm3benelliDesc,"[004CFF]Benelli M3 [-][FFFFFF]Semi-Automatic Shotgun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 12/70 Buckshot, Flechette, Slug\n[-][FE7B7C]Vanilla: [-][FFFFFF] Shotgun Shell, AP Slug, Breaching Slug[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunsaiga12,"[BB00FF]Saiga-12K[-]"
