Key,english
gunump45,"[09FF00]UMP 45[-]"
gunump45Desc,"[09FF00]HK UMP 45 [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCan equip an [D3CE1D]M203[-] Grenade Launcher"
gunthompson,"[004CFF]Thompson[-]"
gunthompsonDesc,"[004CFF]Colt Thompson [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunvector45,"[BB00FF]Vector .45 ACP[-]"
gunvector45Desc,"[BB00FF]TDI KRISS Vector Gen.2 [-][FFFFFF]Submachine Gun (.45ACP)\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCan equip an [D3CE1D]M203[-] Grenade Launcher"
gunp90,"[004CFF]P90[-]"
gunp90Desc,"[004CFF]FN P90 [-][FFFFFF]Submachine Gun\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] FN 5.7×28mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"

guntokarevtt,"TT-33"
guntokarevttDesc,"[FFFFFF]Tokarev TT-33 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×25mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
guntokarevgold,"[FFDB1A]TT-33 Golden Pistol[-]"
guntokarevgoldDesc,"[FFDB1A]Tokarev TT-33 [-][FFFFFF]Pistol [FFDB1A]Gold Edition[-]\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] 7.62×25mm Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] 9mm Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunusp45tac,"USP 45 Tactical"
gunusp45tacDesc,"[FFFFFF]HK USP 45 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunm1911,"M1911"
gunm1911Desc,"[FFFFFF]Colt M1911A1 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunm45,"M45A1"
gunm45Desc,"[FFFFFF]Colt M45A1 [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunusp45match,"USP 45 w Match Compensator"
gunusp45matchDesc,"[FFFFFF]HK USP 45 [-][FFFFFF]Pistol with Match Compensator\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .45 ACP Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]\n\nCannot equip [FF4F33]Suppressors[-]"
gundeserteagle,"Desert Eagle L6"
gundeserteagleDesc,"[FFFFFF]Desert Eagle [-][FFFFFF]Pistol\n\n[FFEB04]Compatible Ammo:[-]\n[00FF00]EFTX: [-][FFFFFF] .50 AE Ammo[-]\n[FE7B7C]Vanilla: [-][FFFFFF] .44 Magnum Ammo[-]\n[FF0000]IZYS: [-][FFFFFF] .45 ACP Ammo[-]\n\nRepair with a [D3CE1D]Weapon Repair Kit[-]"
gunrsh12,"RSh-12"
